Group,Condition,DTW_Distance
0,jointlead,1531.9215648506188
0,leadfollow,719.5651947144435
12,jointlead,1107.3858783083429
12,leadfollow,5406.94757936791
13,jointlead,4992.7813788565145
13,leadfollow,3647.8222881473266
1,jointlead,2004.7001404390116
1,leadfollow,579.9575981615667
2,jointlead,1036.8768086999996
2,leadfollow,1565.8801065856771
3,jointlead,906.9594337116658
3,leadfollow,463.84447963108306
4,leadfollow,251.47369355240355
6,jointlead,3041.837588829508
6,leadfollow,1540.0192019428682
8,leadfollow,1613.8269787978047
