"Index","DTW_Component_1","DTW_Component_2","Weighted_DTW_Component_1","Weighted_DTW_Component_2","DTW_Sum"
1,3139.98340926896,9146.22669478317,1852.59021146869,3749.9529448611,5602.54315632979
2,1759.17538783079,10219.843973113,1113.55802049689,3750.68273813248,4864.24075862937
3,2820.87353268838,1701.98069308489,2126.93864364704,418.687250498882,2545.62589414592
4,4409.42555935789,11043.0534504824,2248.80703527252,5411.0961907364,7659.90322600892
5,1660.54559752632,7153.41704175518,1167.363555061,2124.56486140129,3291.92841646229
6,3139.57122900933,4178.18108428152,1381.4113407641,2339.78140719765,3721.19274796176
7,2725.30701562751,18284.5975557315,2082.13455993942,4315.16502315264,6397.29958309206
8,1079.09699390347,8233.49961256041,557.893145848094,3976.78031286668,4534.67345871477
9,659.326374650635,1841.60430398023,380.431318173416,778.998620583638,1159.42993875705
10,5823.59634555262,10409.0374331229,2970.03413623184,5100.42834223024,8070.46247846208
11,3157.90377134449,3703.93059679198,1973.6898570903,1388.97397379699,3362.6638308873
12,5507.58857561248,2775.2787836725,3051.20407088931,1237.77433751793,4288.97840840725
